player_id,pfr_player_name,draft_year,fifth_year_salary_m
00-0027939,Cam Newton,2011,14.66
00-0027940,Von Miller,2011,9.754
00-0027941,Marcell Dareus,2011,8.06
00-0027942,A.J. Green,2011,10.176
00-0027943,Patrick Peterson,2011,10.081
00-0027944,Julio Jones,2011,10.176
00-0027945,Aldon Smith,2011,9.754
00-0027946,Jake Locker,2011,
00-0027947,Tyron Smith,2011,10.039
00-0027948,Blaine Gabbert,2011,
00-0027949,J.J. Watt,2011,6.969
00-0027950,Christian Ponder,2011,
00-0027951,Nick Fairley,2011,
00-0027952,Robert Quinn,2011,6.969
00-0027953,Mike Pouncey,2011,7.438
00-0027954,Ryan Kerrigan,2011,7.038
00-0027955,Nate Solder,2011,7.438
00-0027956,Corey Liuget,2011,5.477
00-0027957,Prince Amukamara,2011,6.89
00-0027958,Adrian Clayborn,2011,
00-0027959,Phil Taylor,2011,5.477
00-0027960,Anthony Castonzo,2011,7.438
00-0027961,Danny Watkins,2011,
00-0027962,Cameron Jordan,2011,6.969
00-0027963,James Carpenter,2011,
00-0027964,Jonathan Baldwin,2011,
00-0027965,Jimmy Smith,2011,6.898
00-0027966,Mark Ingram,2011,
00-0027967,Gabe Carimi,2011,
00-0027968,Muhammad Wilkerson,2011,6.969
00-0027969,Cameron Heyward,2011,6.969
00-0027970,Derek Sherrod,2011,
00-0029668,Andrew Luck,2012,16.155
00-0029665,Robert Griffin III,2012,16.155
00-0029675,Trent Richardson,2012,
00-0029687,Matt Kalil,2012,11.096
00-0029707,Justin Blackmon,2012,
00-0029676,Morris Claiborne,2012,
00-0029670,Mark Barron,2012,
00-0029701,Ryan Tannehill,2012,16.155
00-0029248,Luke Kuechly,2012,11.058
00-0029542,Stephon Gilmore,2012,11.082
00-0029688,Dontari Poe,2012,6.146
00-0029653,Fletcher Cox,2012,7.799
00-0029638,Michael Floyd,2012,7.32
00-0029630,Michael Brockers,2012,6.146
00-0029193,Bruce Irvin,2012,
00-0029559,Quinton Coples,2012,
00-0029560,Dre Kirkpatrick,2012,7.507
00-0029249,Melvin Ingram,2012,7.751
00-0029250,Shea McClellin,2012,
00-0029708,Kendall Wright,2012,7.32
00-0029585,Chandler Jones,2012,7.799
00-0029677,Brandon Weeden,2012,
00-0029672,Riley Reiff,2012,8.07
00-0029678,David DeCastro,2012,8.07
00-0029669,Dont'a Hightower,2012,7.751
00-0029643,Whitney Mercilus,2012,
00-0029592,Kevin Zeitler,2012,8.07
00-0029408,Nick Perry,2012,
00-0029606,Harrison Smith,2012,5.278
00-0029654,A.J. Jenkins,2012,
00-0029613,Doug Martin,2012,
00-0029251,David Wilson,2012,
00-0030584,Eric Fisher,2013,11.902
00-0030545,Luke Joeckel,2013,
00-0030555,Dion Jordan,2013,
00-0030561,Lane Johnson,2013,
00-0030059,Ezekiel Ansah,2013,12.734
00-0030558,Barkevious Mingo,2013,
00-0030590,Jonathan Cooper,2013,
00-0030525,Tavon Austin,2013,12.268
00-0030592,Dee Milliner,2013,
00-0030593,Chance Warmack,2013,
00-0030505,D.J. Fluker,2013,8.821
00-0030572,D.J. Hayden,2013,
00-0030573,Sheldon Richardson,2013,8.069
00-0030455,Star Lotulelei,2013,6.757
00-0030060,Kenny Vaccaro,2013,5.676
00-0030526,EJ Manuel,2013,
00-0030499,Jarvis Jones,2013,
00-0030548,Eric Reid,2013,5.676
00-0030585,Justin Pugh,2013,8.821
00-0030441,Kyle Long,2013,8.821
00-0030549,Tyler Eifert,2013,4.782
00-0030562,Desmond Trufant,2013,8.026
00-0030574,Sharrif Floyd,2013,6.757
00-0030563,Bjoern Werner,2013,
00-0030575,Xavier Rhodes,2013,8.026
00-0030576,Datone Jones,2013,
00-0030564,DeAndre Hopkins,2013,7.915
00-0030577,Sylvester Williams,2013,
00-0030578,Cordarrelle Patterson,2013,
00-0030527,Alec Ogletree,2013,8.369
00-0030546,Travis Frederick,2013,8.821
00-0030559,Matt Elam,2013,
00-0031364,Jadeveon Clowney,2014,13.846
00-0031386,Greg Robinson,2014,
00-0031407,Blake Bortles,2014,19.053
00-0031325,Sammy Watkins,2014,
00-0031040,Khalil Mack,2014,13.846
